Source,Reference,Prediction,Sentence_BLEU
"In order to contribute to the detection of banned substances in traditional herbal medicines, we conducted a study on the method of quantification of diclofenac sodium in traditional herbal medicines which are used for treatment or support for osteoarthritis by high performance liquid chromatography (HPLC).","Để góp phần vào công tác kiểm tra phát hiện các chất cấm trộn lẫn trong thuốc đông dược, chúng tôi tiến hành đề tài xây dựng phương pháp định lượng diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao với detector UV-vis.","Để góp phần phát hiện các chất cấm trong các loại thuốc thảo dược truyền thống, chúng tôi tiến hành nghiên cứu về phương pháp định lượng natri diclofenac trong các loại thuốc thảo dược truyền thống được sử dụng để điều trị hoặc hỗ trợ viêm khớp bằng nhiễm sắc thể lỏng hiệu suất cao (HPLC).",25.07458717621344
"After precipating, diclofenac sodium was eluted by HPLC using a reverse-phase column (C8, 150 mm x 4.6 mm, 5 μm), mobile phase contains methanol / phosphat buffer (70: 30 v / v, pH 2.5), at a flow rate of 1.0 ml / min, and a wavelength detection at 275 nm.","Sau khi xử lý mẫu diclofenac natri được tiến hành định lượng bằng phương pháp sắc ký lỏng hiệu năng cao với cột pha đảo (C 8, 150 mm x 4,6 mm, 5 μm), pha động methanol / đệm phosphat pH 2,5 (7 0:3 0 v / v) tốc độ dòng chảy là 1,0 ml / phút, bước sóng phát hiện 275 nm.","Sau khi khai thác, natri diclofenac được HPLC giải phóng bằng một cột pha ngược (C 8,150 mm x 4,6 mm, 5 μm), giai đoạn di động chứa buffer methanol / phosphat (70: 30 v / v, pH 2,5), với tốc độ chảy 1,0 ml / phút, và phát hiện chiều dài sóng ở 275 nm.",24.714047582970807
"Therefor, the method was appropriately formulated to determine diclofenac sodium in herbal medicines.",Như vậy phương pháp đã xây dựng phù hợp đề xác định diclofenac natri trong dược liệu.,"Vì vậy, phương pháp đã được xây dựng phù hợp để xác định diclofenac natri trong các loại thuốc thảo dược.",32.70029093408734
Research for clinical characteristics and plasma dopamine concentrations in schizophrenic patients,Nghiên cứu đặc điểm lâm sàng và nồng độ dopamin huyết tương ở bệnh nhân tâm thần phân liệt,Nghiên cứu đặc điểm lâm sàng và nồng độ dopamine huyết tương ở bệnh nhân tâm thần phân liệt,84.92326635760686
The purpose of this study was to evaluate the effects of a mixture extract of C chrysantha and G pentaphyllum on weight loss and lowering lipid blood levels in obese Swiss mice.,"Nghiên cứu được thực hiện nhằm đánh giá tác dụng giảm cân, hạ lipid máu của hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam trên chuột nhắt trắng gây béo phì.",Mục đích của nghiên cứu này là đánh giá tác dụng của chiết xuất hỗn hợp C. chrysantha và G. pentaphyllum đối với giảm cân và giảm nồng độ lipid trong máu ở chuột Thụy Sĩ béo phì.,11.167345096461645
Swiss mice were randomly allocated into 5 groups with 8 animals in each group.,Chuột nhắt trắng chủng Swiss được chia ngẫu nhiên thành 5 lô với 8 con trong mỗi lô.,Các chuột Thụy Sĩ được phân loại ngẫu nhiên vào 5 nhóm với 8 động vật trong mỗi nhóm.,7.339934569877101
Group 1: non-obese mice.,Lô 1: chuột không gây béo phì.,Nhóm 1: chuột không béo phì.,44.12484512922978
"With the remaining 4 groups, the mice were induced to become obese for 8 weeks.","Với 4 lô còn lại, chuột được gây béo phì trong vòng 8 tuần.","Với 4 nhóm còn lại, chuột bị gây béo phì trong 8 tuần.",40.66844122435749
"mice were fed with distilled water (group 2) mixture extract at a dose of 12g / kg / day (group 3), 24g / kg / day (group 4) and atorvastatin at a dose of 15mg / kg / day (group 5).","Sau đó với lô 2 chuột được uống nước cất, lô 3 chuột được uống hỗn hợp dịch chiết liều 12 g / kg / ngày, lô 4 chuột được uống hỗn hợp dịch chiết liều 2 4g / kg / ngày và lô 5 chuột được uống atorvastatin liều 15 mg / kg / ngày.","chuột được cho thức ăn bằng nước chưng cất (khu nhóm 2) chiết xuất hỗn hợp với liều 12g / kg / ngày (khu nhóm 3), 24g / kg / ngày (khu nhóm 4) và atorvastatin với liều 15mg / kg / ngày (khu nhóm 5).",15.27129086208198
The feeding time period was 14 days.,Thời gian uống thuốc thử là 14 ngày.,Thời gian ăn là 14 ngày.,36.74145494215666
"Mice in each group was assessed for weight weekly and the levels of Total Cholesterol (CT), HDLCholesterol (HDL-C), LDL-Cholesterol (LDL-C) and Triglyceride (TC) was recorded at initial time (after obesity was induced for 8 weeks) and 1 hour after taking the extracted mixtures on the last day.","Trọng lượng chuột ở mỗi lô được đánh giá hàng tuần và hàm lượng Cholesterol toàn phần (CT), HDL-Cholesterol (HDL-C), LDL-Cholesterol (LDL-C) và Triglycerid (TC) tại các thời điểm chưa uống thuốc (sau gây béo phì 8 tuần) và sau uống thuốc thử ngày cuối 1 giờ.","Các chuột trong mỗi nhóm được đánh giá cân nặng hàng tuần và mức độ Cholesterol tổng hợp (CT), HDLCholesterol (HDL-C), LDL-Cholesterol (LDL-C) và Triglyceride (TC) được ghi nhận ở thời điểm đầu (sau khi gây béo phì trong 8 tuần) và 1 giờ sau khi uống các hỗn hợp thu được vào ngày cuối.",29.11263564415261
"The results showed that the mixture extract of C chrysantha and G pentaphyllum at doses of 12 g / kg / day and 24 g / kg / day, atorvastatin at a dose of 15 mg / kg / day (group 3, 4, 5) induced weight loss and decreased TC, CT, LDL-C levels compared with group 2 (p < 0.05) and the difference was not statistically significant between groups 3, 4, 5 (p > 0.05).","Kết quả cho thấy hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam ở liều 12 g / kg / ngày và 24 g / kg / ngày, atorvastatin liều 15 mg / kg / ngày (lô 3,4,5) đều giảm có ý nghĩa thống kê thể trọng chuột và các chỉ số CT, LDL-C và TC so với lô 2 (p < 0,05) và khác biệt không có ý nghĩa thống kê giữa các lô 3,4,5 (p > 0,05).","Kết quả cho thấy hỗn hợp C. chrysantha và G. pentaphyllum với liều 12 g / kg / ngày và 24 g / kg / ngày, atorvastatin với liều 15 mg / kg / ngày (nhóm 3, 4, 5) gây giảm cân và giảm TC, CT, LDL-C so với nhóm 2 (p < 0,05) và sự khác biệt không có ý nghĩa thống kê giữa các nhóm 3, 4, 5 (p > 0,05).",51.84118854672414
"Research characteristics of clinical, paraclinical peripheral nerve damage in newly diagnosed type 2 diabetes patients",Đặc điểm lâm sàng và điện sinh lý của tổn thương thần kinh ngoại vi ở người bệnh đái tháo đường tuýp 2 mới được chẩn đoán,"Đặc điểm nghiên cứu tổn thương thần kinh ngoại vi lâm sàng, cận lâm sàng ở bệnh nhân đái tháo đường type 2 mới chẩn đoán",29.37225538639114
"A cross-sectional descriptive study was implemented to assess fluor contaminated teeth among children aged 12 years of Thai ethnic group in Con Cuong district, Nghe An province.","Nghiên cứu mô tả cắt ngang nhằm đánh giá tình trạng răng nhiễm fluor ở trẻ 12 tuổi dân tộc Thái tại huyện Con Cuông, tỉnh Nghệ An.","Nghiên cứu mô tả cắt ngang được thực hiện để đánh giá răng nhiễm fluor ở trẻ em 12 tuổi thuộc nhóm dân tộc Thái Lan tại huyện Côn Cương, tỉnh Nghệ An.",40.749575585368746
"The study was completed in May 2015 with 476 children aged 12 years at 9 secondary schools, applying the methodology of investigation and classification of WHO-2013 with the Dean's fluorosis index.",Nghiên cứu được hoàn thành vào tháng 5/2015 với 476 trẻ 12 tuổi tại 9 trường trung học cơ sở. Nghiên cứu theo phương pháp điều tra và phân loại của Tổ chức Y tế Thế giới (WHO) năm 2013 sử dụng chỉ số răng nhiễm fluor Dean.,"Nghiên cứu được hoàn thành vào tháng 5/2015 với 476 trẻ 12 tuổi tại 9 trường trung học, áp dụng phương pháp nghiên cứu và phân loại WHO-2013 với chỉ số fluorosis của Dean.",40.150516333521395
Research results showed that: The rate of 12-year-old children with fluor contaminated teeth including the suspicion level was 13.2%.,"Kết quả nghiên cứu: Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu tính cả mức độ nghi ngờ là 13,2%.","Kết quả nghiên cứu cho thấy: Tỷ lệ trẻ em 12 tuổi có răng nhiễm fluor bao gồm mức độ nghi ngờ là 13,2%.",60.23289186759281
The rate of 12-year-old children with fluor contaminated teeth without suspicion level was 7.1%.,"Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu không tính mức độ nghi ngờ là 7,1%.","Tỷ lệ trẻ em 12 tuổi có răng nhiễm fluor không nghi ngờ là 7,1%.",54.712491827618045
"Mostly suspected and very mild, there was no case of severe fluor contaminated teeth. There was only one case of moderate fluor contaminated teeth.","Chủ yếu là mức độ nghi ngờ và rất nhẹ, không có trường hợp răng nhiễm fluor nặng, chỉ duy nhất một ca răng nhiễm fluor ở mức độ trung bình.","Đa phần nghi ngờ và rất nhẹ, không có trường hợp nào bị nhiễm fluor nặng, chỉ có một trường hợp bị nhiễm fluor trung bình.",42.275535155213376
The Dean's index of community fluor contaminated teeth in 12-year-old children was 0.13. This was a community without fluor contaminated teeth according to the 2013 classification of the World Health Organization.,"Chỉ số răng nhiễm fluor trong cộng đồng theo chỉ số Dean ở trẻ 12 tuổi là 0,13 theo phân loại của Tổ chức Y tế Thế giới năm 2013 thuộc cộng đồng không bị nhiễm fluor răng.","Chỉ số răng nhiễm fluor cộng đồng của Dean ở trẻ 12 tuổi là 0,13. Đây là một cộng đồng không có răng nhiễm fluor theo phân loại năm 2013 của Tổ chức Y tế Thế giới.",49.005536896861145
Characteristics of dry eye in patients with primary Sjögren syndrome,Đặc điểm khô mắt trên bệnh nhân mắc hội chứng Sjögren nguyên phát,Đặc điểm khô mắt ở bệnh nhân hội chứng Sjögren nguyên phát,53.11878904526514
To investigate the reasonableness of using proton pump inhibitors (PPI) at 120 Military Hospital in Tien Giang province.,Khảo sát tính hợp lý trong sử dụng thuốc ức chế bơm proton (PPI) tại Bệnh viện Quân y 120 tỉnh Tiền Giang.,Khảo sát tính hợp lý sử dụng thuốc ức chế bơm proton (PPI) tại Bệnh viện Quân đội 120 tỉnh Tiền Giang.,78.61426422265426
Unreasonable prescriptions in PPI used mainly gastritis.,Đơn thuốc chưa hợp lý trong sử dụng PPI chủ yếu là bệnh viêm dạ dày.,Phác đồ không hợp lý trong PPI sử dụng chủ yếu viêm dạ dày.,25.91840256221867
"Subjects and methods: Cross-sectional descriptive study on 4532 outpatient prescriptions of patients who were prescribed drugs by doctors from July 1st, 2020 to July 30th, 2020 at clinics of the examination department - Military Hospital 120.",Đối tượng và phương pháp: Nghiên cứu mô tả cắt ngang trên 4532 đơn thuốc khám bệnh ngoại trú của bệnh nhân được bác sĩ kê đơn thuốc từ ngày 01/7/2020 đến ngày 30/7/2020 tại các phòng khám thuộc khoa Khám bệnh – Bệnh viện Quân y 120.,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang 4532 đơn thuốc ngoại trú của bệnh nhân được bác sĩ kê đơn thuốc từ ngày 1 tháng 7 năm 2020 đến ngày 30 tháng 7 năm 2020 tại phòng khám khoa khám - Bệnh viện Quân đội 120.,48.46230465776253
Results: Prescribing unsafe proton pump inhibitors accounted for 12.13%.,"Kết quả: Tỷ lệ chỉ định thuốc ức chế bơm proton chưa an toàn chiếm 12,13%.","Kết quả: Tiêu chuẩn thuốc ức chế bơm proton không an toàn chiếm 12,13%.",50.945362863007105
Percentage of prescriptions without instructions for use of proton pump inhibitors (0.79%).,"Tỷ lệ đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton (0,79%).","Tỷ lệ đơn thuốc không có hướng dẫn sử dụng thuốc ức chế bơm proton (0,79%).",82.57183305096686
"The proportion of prescription drugs with drug interactions was 52.14%, clopidogrel was the most interactive drug commonly used with PPIs (48.3%).","Tỷ lệ đơn thuốc có tương tác thuốc là 52,14%, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất (48,3%).","Tỷ lệ thuốc theo toa có tương tác với thuốc là 52,14%, clopidogrel là thuốc tương tác phổ biến nhất với PPI (48,3%).",50.941534445498206
The proportion of proton pump inhibitors indicated unreasonable was 9.76%.,"Tỷ lệ có chỉ định thuốc ức chế bơm proton chưa hợp lý là: 9,76%.","Tỷ lệ thuốc ức chế bơm proton cho thấy không hợp lý là 9,76%.",35.70170834105637
The proportion of prescriptions with proton pump inhibitors for gastritis treatment accounted for 66.14% of the total number of prescriptions with proton pump inhibitors that were not reasonable.,"Tỷ lệ đơn thuốc có chỉ định thuốc ức chế bơm proton điều trị viêm dạ dày chiếm 66,14% so với tổng đơn thuốc có thuốc ức chế bơm proton chưa hợp lý.","Tỷ lệ thuốc ức chế bơm proton điều trị viêm dạ dày chiếm 66,14% tổng số thuốc ức chế bơm proton không hợp lý.",48.92304985713151
Conclusion: The proportion of proton pump inhibitors was not safe and reasonable and the proportion of prescription drugs with no instructions on how long to use proton pump inhibitors were low.,"Kết luận: Tỷ lệ thuốc ức chế bơm proton chưa an toàn, chưa hợp lý, đơn thuốc không có hướng dẫn thời gian sử dụng thuốc ức chế bơm proton chiếm tỷ lệ thấp.",Kết luận: Tỷ lệ thuốc ức chế bơm proton không an toàn và hợp lý và tỷ lệ thuốc theo toa không có hướng dẫn sử dụng thuốc ức chế bơm proton là thấp.,50.93142043238125
"The proportion of prescription interacting drugs accounted for a high proportion, clopidogrel was the most interactive drug commonly used with PPIs.","Tỷ lệ đơn thuốc có tương tác chiếm tỷ lệ cao, clopidogrel là thuốc tương tác được sử dụng chung với PPI nhiều nhất.","Tỷ lệ thuốc tương tác theo toa chiếm tỷ lệ cao, clopidogrel là thuốc tương tác thường được sử dụng với PPIs.",46.31716874883597
"Evaluation of compliance with vancomycin therapy before and after the participation of clinical pharmacists at the department of intensive care medicine - anti toxicology, Nguyen Tri Phuong hospital","Đánh giá mức độ tuân thủ theo dõi trị liệu vancomycin trước và sau khi có sự tham gia của dược sĩ lâm sàng tại Khoa Hồi sức tích cực – Chống độc, Bệnh viện Nguyễn Tri Phương",Đánh giá sự tuân thủ điều trị vancomycin trước và sau khi tham gia của các bác sĩ dược lâm sàng tại khoa lâm sàng điều trị sâu - kháng độc học bệnh viện Nguyễn Tri Phương,24.02178625039613
Primary spontaneous pneumothorax is a common disease in young people with a recurrence rate.,Tràn khí màng phổi tự phát tiên phát là bệnh lý thường xảy ra ở người trẻ với tỉ lệ tái phát nhất định.,Hút phổi tự phát nguyên phát là một bệnh thường gặp ở những người trẻ tuổi có tỷ lệ tái phát.,12.904508073539901
"Currently, indications of video-assisted thoracoscopic surgery (VATS) in the routine treatment of primary spontaneous pneumothorax and it is recommended to perform early in the first episode of pneumothorax.","Hiện nay, chỉ định phẫu thuật nội soi lồng ngực trong điều trị tràn khí màng phổi tự phát tiên phát đã trở thành thường quy và khuyến cáo thực hiện sớm ngay với các trường hợp tràn khí lần đầu.","Hiện nay, chỉ định phẫu thuật nội soi ngực hỗ trợ video (VATS) trong điều trị thường ngày của động mạch phổi tự phát nguyên phát và được khuyến cáo thực hiện sớm trong giai đoạn đầu của động mạch phổi.",32.50838592468717
"Methods: Cross-sectional study; The research results were recorded in the following variables: age, sex; operative indications; operative time... The data were recorded in the research medical record for each patient and processed by the SPSS 20.0.","Phương pháp: Nghiên cứu cắt ngang; Kết quả nghiên cứu ghi nhận ở các biến số: Tuổi, giới tính; chỉ định phẫu thuật; thời gian mổ... Số liệu được ghi nhận vào mẫu bệnh án nghiên cứu cho từng bệnh nhân và xử lý bằng chương trình SPSS 20.0.","Phương pháp nghiên cứu: Nghiên cứu cắt ngang; Kết quả nghiên cứu được ghi nhận theo các biến sau: tuổi, giới tính; chỉ định phẫu thuật; thời gian phẫu thuật... Các dữ liệu được ghi nhận trong hồ sơ y tế nghiên cứu cho mỗi bệnh nhân và được xử lý bằng SPSS 20.0.",45.114252890328096
"Results: From January 2018 to April 2021 at Cardiovascular and Thoracic Center - Viet Duc University Hospital, 38 patients underwent video-assisted thoracoscopic surgery for primary spontaneous pneumothorax.",Kết quả: Từ tháng 01/2018 đến 04/2021 tại trung tâm Tim mạch và Lồng ngực – Bệnh viện hữu nghị Việt Đức có 38 bệnh nhân được phẫu thuật nội soi lồng ngực điều trị tràn khí màng phổi tự phát tiên phát.,"Kết quả: Từ tháng 1/2018 đến tháng 4/2021 tại Trung tâm Tim mạch và ngực - Bệnh viện Đại học Việt Đức, có 38 bệnh nhân được phẫu thuật nội soi ngực hỗ trợ video để điều trị động mạch phổi tự phát nguyên phát.",37.23350959104955
"Indications of VATS: Recurrent preumothorax 44, 74%; Prolonged preumothorax 21, 05%; bullae 21, 05%; preumothorax-hemothorax 10, 52%; bilateral spontaneous pneumothorax 2, 63%.","Chỉ định phẫu thuật bao gồm: Tràn khí tái phát 44,74%; Rò khí kéo dài 21,05%; Kén khí lớn 21,05%; Tràn khí - tràn máu màng phổi 10,52%; Tràn khí 2 bên cùng lúc 2,63%.","Các chỉ định của VATS: Hạt trước mạc tái phát 44,74%, Hạt trước mạc kéo dài 21,05%; Hạt trước mạc 21,05%; Hạt trước mạc - Hạt máu 10,52%, Hạt phổi tự phát hai bên 2,63%.",19.613686294433286
There were no complications nor death.,Không có biến chứng cũng như tử vong.,"Không có biến chứng, không có tử vong.",37.99178428257963
"Follow-up from 1 month to 24 months, no cases of recurrence.","Theo dõi từ 1 tháng đến 24 tháng, không có trường hợp nào tái phát.","Theo dõi từ 1 tháng đến 24 tháng, không có trường hợp tái phát.",83.20381765431426
Outcomes of therapeutic penetrating keratoplasty for treating microsporidial keratitis,Kết quả điều trị viêm loét giác mạc do microsporidia bằng phẫu thuật ghép giác mạc xuyên,Kết quả điều trị viêm viêm hố vi bào,18.34891231707334
"By means of direct interviews with 156 primary caregivers for stroke patients who were treated at the hospital and are currently living in Ha Dong district in Hanoi, on rehabilitation care knowledge for patients at home, findings reveal: Percentage of primary carer full knowledge of the content of each patient care was limited: only 2 out of 8 contents reaching over 50%, which are eating care (70.6%) and occlusion preventive care (55.8%).","Bằng phương pháp phỏng vấn trực tiếp 156 người chăm sóc chính cho người bệnh tai biến mạch máu não đã được điều trị tại bệnh viện, hiện đang sinh sống tại quận Hà Đông, thành phố Hà Nội về kiến thức chăm sóc phục hồi chức năng cho người bệnh tại nhà, cho thấy kết quả như sau: Tỷ lệ người chăm sóc chính đạt kiến thức đầy đủ về từng nội dung chăm sóc người bệnh còn rất hạn chế: chỉ có 2/8 nội dung có tỷ lệ đạt trên 50%, đó là chăm sóc ăn uống (70,6%), chăm sóc phòng ngừa tắc mạch (55,8%).","Thông qua các cuộc phỏng vấn trực tiếp với 156 người chăm sóc cơ bản cho bệnh nhân đột quỵ được điều trị tại bệnh viện và hiện đang sống tại huyện Ha Đồng Hà Nội, về kiến thức chăm sóc phục hồi chức năng cho bệnh nhân tại nhà, các kết quả cho thấy: Tỷ lệ người chăm sóc cơ bản có kiến thức đầy đủ về nội dung chăm sóc từng bệnh nhân có giới hạn: chỉ có 2 trong số 8 nội dung đạt trên 50%, đó là chăm sóc ăn uống (70,6%) và chăm sóc phòng ngừa tắc nghẽn (55,8%).",46.0909006824967
"The remaining content ratio care primary caregivers full knowledge was low: skin care (46.2%), urinary tract care, bladder (46.2%), constipation preventive care (13.5%), respiratory care (30.8%), standing care (46.9%), care practice, athletes (34.6%).","Đối với các nội dung chăm sóc còn lại, tỷ lệ người chăm sóc chính đạt kiến thức đầy đủ thấp: chăm sóc da (46,2%), chăm sóc đường tiểu, bàng quang (46,2%), chăm sóc phòng ngừa táo bón (13,5%), chăm sóc hô hấp (30,8%), chăm sóc tư thế đứng (46,9%), chăm sóc luyện tập, vận động (34,6%).","Tỷ lệ nội dung còn lại của chăm sóc người chăm sóc sơ bộ đầy đủ kiến thức là thấp: chăm sóc da (46,2%), chăm sóc đường tiết niệu, bàng quang (46,2%), chăm sóc phòng ngừa táo bón (13,5%), chăm sóc hô hấp (30,8%), chăm sóc đứng (46,9%), chăm sóc thực hành, vận động viên (34,6%).",67.0173389032297
Percentage of primary care-givers pass all 8 contents of rehabilitation care at home for patients with stroke accounted for only 25.0%.,"Tỷ lệ người chăm sóc chính đạt yêu cầu cả 8 nội dung chăm sóc phục hồi chức năng tại nhà cho người bệnh tai biến mạch máu não chỉ chiếm 25,0%.","Tỷ lệ người chăm sóc ban đầu vượt qua tất cả 8 nội dung chăm sóc hồi phục tại nhà cho bệnh nhân đột quỵ chiếm chỉ 25,0%.",32.73244477133367
Deep anterior lamellar keratoplasty to treat corneal perforation and descemetocele from microbial keratitis,Ghép giác mạc lớp trước sâu điều trị viêm loét giác mạc nhiễm trùng,Phẫu thuật phẫu thuật tạo hình hồng cầu trước sâu để điều trị lỗ hổng giác mạc và hồng cầu dưới do viêm hồng cầu vi khuẩn,4.996434935345059
"TAFRO syndrome was first reported in 2010 in Japan. It is characterized by a constellation of symptoms: Thrombocytopenia, Anasarca, reticulin Fibrosis of the bone marrow, Renal dysfunction and Organomegaly (TAFRO).","Hội chứng TAFRO được báo cáo đầu tiên năm 2010 tại Nhật Bản, đăc trưng bởi giảm tiểu cầu, tràn dịch đa màng, xơ hoá tuỷ xương có reticulin, rối loạn chức năng thận, phì đại cơ quan.","Hội chứng TAFRO lần đầu tiên được báo cáo vào năm 2010 tại Nhật Bản, được đặc trưng bởi một loạt các triệu chứng: giảm tiểu cầu, Anasarca, Xơ vữa tuỷ xương reticulin, rối loạn chức năng thận và mất cơ quan (TAFRO).",33.49639857027188
"TAFRO syndrome often occurs in the middle-aged and the elderly, and is rarely seen in adolescents.","Bệnh thường gặp ở người già hoặc trung niên, rất hiếm gặp ở thanh thiếu niên.","Hội chứng TAFRO thường xảy ra ở người trung niên và người cao tuổi, và hiếm gặp ở thanh thiếu niên.",31.453275715576925
"Here we report the first child case diagnosed with TAFRO syndrome, and successfully treated with Cyclosporin A in the national children hospital.",Chúng tôi báo cáo một ca bệnh ở trẻ nhỏ đầu tiên được chẩn đoán hội chứng TAFRO và điều trị thành công bằng Cyclospron A tại bệnh viện Nhi Trung ương.,"Ở đây chúng tôi báo cáo trường hợp trẻ đầu tiên được chẩn đoán hội chứng TAFRO, được điều trị thành công bằng Cyclosporin A tại bệnh viện nhi quốc gia.",43.069195291306215
"He was diagnosed with TAFRO syndrome, treated by prednisone 1mg / kg / day combined with cyclosporin A 4mg / kg / day for 2 weeks. Improvement seen with no fever, no edema, increased platelets, and improved kidney function.","Trẻ được chẩn đoán hội chứng TAFRO, và điều trị prednisone 1 mg / kg / ngày phối hợp cyclosporinA 4 mg / kg / ngày được 2 tuần, trẻ hết sốt, hết phù, tiểu cầu máu tăng, chức năng thận cải thiện","Ông được chẩn đoán hội chứng TAFRO, điều trị bằng prednisone 1 mg / kg / ngày kết hợp với cyclosporin A 4 mg / kg / ngày trong 2 tuần.",33.15967636608847
C-met expression in gastric adenocarcinoma,Sự biểu lộ của C-met trong ung thư biểu mô tuyến dạ dày vùng hang vị,C-met biểu hiện trong ung thư tuyến đường dạ dày,12.123024650985291
